AccountNumber,Balance
ACC100000,287901.76
ACC100001,196202.84
ACC100002,991765.45
ACC100003,88700.97
ACC100004,473088.46
ACC100005,372697.34
ACC100006,523308.61
ACC100007,879718.69
ACC100008,198465.13
ACC100009,813700.39
ACC100010,68579.97
ACC100011,542784.07
ACC100012,536722.28
ACC100013,83732.75
ACC100014,294096.41
ACC100015,812594.00
ACC100016,361467.74
ACC100017,803000.84
ACC100018,665531.09
ACC100019,819361.85
ACC100020,520059.10
ACC100021,356575.57
ACC100022,484933.48
ACC100023,850449.59
ACC100024,68521.18
ACC100025,190068.26
ACC100026,272839.61
ACC100027,585510.20
ACC100028,562057.69
ACC100029,263865.35
ACC100030,219070.84
ACC100031,444951.34
ACC100032,256101.92
ACC100033,423715.41
ACC100034,872921.54
ACC100035,221481.61
ACC100036,462724.09
ACC100037,27132.44
ACC100038,663780.12
ACC100039,465389.71
ACC100040,845523.99
ACC100041,832686.95
ACC100042,777005.52
ACC100043,656033.45
ACC100044,392885.03
ACC100045,672800.35
ACC100046,67098.76
ACC100047,544777.97
ACC100048,654651.80
ACC100049,940141.92
ACC100050,960863.41
ACC100051,668325.46
ACC100052,820916.20
ACC100053,823146.25
ACC100054,217340.69
ACC100055,546015.66
ACC100056,163657.56
ACC100057,657527.59
ACC100058,998833.63
ACC100059,570253.60
ACC100060,82480.27
ACC100061,587961.43
ACC100062,538302.48
ACC100063,335734.64
ACC100064,734628.42
ACC100065,527337.12
ACC100066,532817.09
ACC100067,640587.41
ACC100068,146829.12
ACC100069,990154.11
ACC100070,830593.99
ACC100071,220944.78
ACC100072,72327.67
ACC100073,471743.02
ACC100074,680425.37
ACC100075,749778.37
ACC100076,690725.15
ACC100077,476036.55
ACC100078,257023.80
ACC100079,691096.49
ACC100080,790914.75
ACC100081,701598.58
ACC100082,33960.73
ACC100083,931805.96
ACC100084,448536.34
ACC100085,208538.93
ACC100086,217468.90
ACC100087,355677.37
ACC100088,688929.00
ACC100089,767799.62
ACC100090,939407.78
ACC100091,926929.15
ACC100092,304559.65
ACC100093,389092.08
ACC100094,196158.21
ACC100095,124960.06
ACC100096,902341.35
ACC100097,904498.70
ACC100098,412116.43
ACC100099,926709.94
ACC100100,861127.48
ACC100101,791420.94
ACC100102,661799.84
ACC100103,149018.48
ACC100104,42979.29
ACC100105,161163.77
ACC100106,683355.79
ACC100107,60176.61
ACC100108,333551.91
ACC100109,127991.71
ACC100110,618481.61
ACC100111,37629.87
ACC100112,97129.16
ACC100113,917973.73
ACC100114,369418.70
ACC100115,297493.69
ACC100116,850461.47
ACC100117,997353.87
ACC100118,422774.53
ACC100119,261179.36
ACC100120,606620.80
ACC100121,916542.94
ACC100122,762456.69
ACC100123,925005.71
ACC100124,795584.99
ACC100125,678120.11
ACC100126,929969.05
ACC100127,900184.85
ACC100128,472199.45
ACC100129,715466.99
ACC100130,609724.94
ACC100131,673022.19
ACC100132,574537.24
ACC100133,752825.89
ACC100134,179873.74
ACC100135,98558.75
ACC100136,236488.83
ACC100137,277681.60
ACC100138,515416.88
ACC100139,75210.74
ACC100140,927661.16
ACC100141,482411.02
ACC100142,960105.78
ACC100143,763224.35
ACC100144,921351.09
ACC100145,224127.30
ACC100146,726768.35
ACC100147,845965.72
ACC100148,877481.33
ACC100149,479565.23
ACC100150,262303.50
ACC100151,640203.63
ACC100152,691947.49
ACC100153,765711.69
ACC100154,73610.69
ACC100155,299619.66
ACC100156,666823.16
ACC100157,906680.32
ACC100158,204190.22
